country_code,year,powertrain,registrations
AL,2019,BEV,24.0
AL,2019,Diesel,33064.0
AL,2019,HEV,5883.0
AL,2019,Other,3733.0
AL,2020,BEV,239.0
AL,2020,Diesel,32953.0
AL,2020,HEV,5820.0
AL,2020,Other,133.0
AL,2020,PHEV,4563.0
AL,2021,BEV,262.0
AL,2021,Diesel,42914.0
AL,2021,HEV,9769.0
AL,2021,Other,131.0
AL,2022,BEV,624.0
AL,2022,Diesel,36523.0
AL,2022,HEV,9156.0
AL,2022,Other,58.0
AL,2023,BEV,1671.0
AL,2023,Diesel,47440.0
AL,2023,HEV,13059.0
AL,2023,Other,171.0
AT,2015,BEV,1677.0
AT,2015,Diesel,180510.0
AT,2015,HEV,125243.0
AT,2015,Other,0.0
AT,2015,PHEV,1101.0
AT,2016,BEV,3826.0
AT,2016,Diesel,189139.0
AT,2016,HEV,135230.0
AT,2016,Other,0.0
AT,2016,PHEV,1237.0
AT,2017,BEV,5433.0
AT,2017,Diesel,175590.0
AT,2017,HEV,170273.0
AT,2017,Other,0.0
AT,2017,PHEV,1721.0
AT,2018,BEV,6757.0
AT,2018,Diesel,141159.0
AT,2018,HEV,191293.0
AT,2018,Other,0.0
AT,2018,PHEV,2258.0
AT,2019,BEV,9242.0
AT,2019,Diesel,130468.0
AT,2019,HEV,191055.0
AT,2019,Other,0.0
AT,2019,PHEV,2156.0
AT,2020,BEV,15972.0
AT,2020,Diesel,99196.0
AT,2020,HEV,133797.0
AT,2020,Other,0.0
AT,2020,PHEV,7641.0
AT,2021,BEV,33366.0
AT,2021,Diesel,71808.0
AT,2021,HEV,133448.0
AT,2021,Other,0.0
AT,2021,PHEV,14626.0
AT,2022,BEV,34165.0
AT,2022,Diesel,61537.0
AT,2022,HEV,119425.0
AT,2022,Other,0.0
AT,2022,PHEV,13268.0
AT,2023,BEV,47621.0
AT,2023,Diesel,61187.0
AT,2023,HEV,127984.0
AT,2023,Other,0.0
AT,2023,PHEV,16956.0
BA,2015,BEV,1.0
BA,2015,Diesel,3835.0
BA,2015,HEV,1825.0
BA,2015,Other,0.0
BA,2015,PHEV,0.0
BA,2016,BEV,0.0
BA,2016,Diesel,4932.0
BA,2016,HEV,2379.0
BA,2016,Other,1.0
BA,2017,BEV,7.0
BA,2017,Diesel,5123.0
BA,2017,HEV,2905.0
BA,2017,Other,0.0
BA,2017,PHEV,0.0
BA,2018,BEV,3.0
BA,2018,Diesel,5028.0
BA,2018,HEV,3348.0
BA,2018,Other,1.0
BA,2019,BEV,13.0
BA,2019,Diesel,4685.0
BA,2019,HEV,3869.0
BA,2019,Other,1.0
BA,2019,PHEV,0.0
BA,2020,BEV,8.0
BA,2020,Diesel,3481.0
BA,2020,HEV,2959.0
BA,2020,Other,3.0
BA,2021,BEV,28.0
BA,2021,Diesel,3385.0
BA,2021,HEV,3745.0
BA,2021,Other,1.0
BA,2021,PHEV,0.0
BA,2022,BEV,33.0
BA,2022,Diesel,3058.0
BA,2022,HEV,4719.0
BA,2022,Other,1.0
BA,2023,BEV,135.0
BA,2023,Diesel,3136.0
BA,2023,HEV,5687.0
BA,2023,Other,1.0
BE,2015,BEV,1360.0
BE,2015,Diesel,305838.0
BE,2015,HEV,200792.0
BE,2015,Other,5.0
BE,2016,BEV,2061.0
BE,2016,Diesel,285653.0
BE,2016,HEV,257377.0
BE,2016,Other,4.0
BE,2017,BEV,2717.0
BE,2017,Diesel,259790.0
BE,2017,HEV,289318.0
BE,2017,Other,2.0
BE,2018,BEV,3763.0
BE,2018,Diesel,202272.0
BE,2018,HEV,348533.0
BE,2018,Other,1.0
BE,2019,BEV,8892.0
BE,2019,Diesel,179716.0
BE,2019,HEV,371741.0
BE,2019,Other,4.0
BE,2020,BEV,15044.0
BE,2020,Diesel,151970.0
BE,2020,HEV,283103.0
BE,2020,Other,3.0
BE,2021,BEV,22774.0
BE,2021,Diesel,103914.0
BE,2021,HEV,284336.0
BE,2021,Other,1.0
BE,2022,BEV,37760.0
BE,2022,Diesel,70559.0
BE,2022,HEV,279182.0
BE,2022,Other,0.0
BE,2023,BEV,93482.0
BE,2023,Diesel,50855.0
BE,2023,HEV,248013.0
BE,2023,Other,1.0
BE,2023,PHEV,100308.0
BG,2015,BEV,10.0
BG,2015,Other,116.0
BG,2016,BEV,11.0
BG,2016,Other,502.0
BG,2017,BEV,13.0
BG,2017,Other,465.0
BG,2018,BEV,145.0
BG,2019,BEV,188.0
BG,2019,Other,1769.0
BG,2020,BEV,277.0
BG,2021,BEV,550.0
BG,2022,BEV,1021.0
BG,2022,Diesel,5330.0
BG,2022,HEV,22055.0
BG,2022,Other,21.0
BG,2022,PHEV,141.0
BG,2023,BEV,1754.0
BG,2023,Diesel,6032.0
BG,2023,HEV,29306.0
BG,2023,Other,28.0
BG,2023,PHEV,355.0
CH,2015,BEV,3882.0
CH,2015,Diesel,132789.0
CH,2015,HEV,188458.0
CH,2015,Other,36.0
CH,2015,PHEV,5855.0
CH,2016,BEV,3525.0
CH,2016,Diesel,130457.0
CH,2016,HEV,186497.0
CH,2016,Other,7.0
CH,2016,PHEV,2820.0
CH,2017,BEV,4929.0
CH,2017,Diesel,118800.0
CH,2017,HEV,192172.0
CH,2017,Other,7.0
CH,2017,PHEV,3371.0
CH,2018,BEV,5349.0
CH,2018,Diesel,95612.0
CH,2018,HEV,199713.0
CH,2018,Other,4.0
