year,powertrain,kind,value,scenario
2015,BEV,actual,86591.0,base
2015,BEV,actual_fit,64546.609538833065,base
2016,BEV,actual,91955.0,base
2016,BEV,actual_fit,101012.47384262343,base
2017,BEV,actual,136624.0,base
2017,BEV,actual_fit,158079.55434825135,base
2018,BEV,actual,202569.0,base
2018,BEV,actual_fit,247386.40994083887,base
2019,BEV,actual,332487.0,base
2019,BEV,actual_fit,387146.7478653823,base
2020,BEV,actual,646513.0,base
2020,BEV,actual_fit,605864.0224483181,base
2021,BEV,actual,1232075.0,base
2021,BEV,actual_fit,948144.5786588694,base
2022,BEV,actual,1594269.0,base
2022,BEV,actual_fit,1483794.9034135325,base
2023,BEV,actual,2099781.0,base
2023,BEV,actual_fit,2322058.325637489,base
2024,BEV,forecast_base,3633894.672157882,base
2025,BEV,forecast_base,5686846.708984559,base
2026,BEV,forecast_base,8899604.212380419,base
2027,BEV,forecast_base,13927393.751770334,base
2028,BEV,forecast_base,21795609.023442514,base
2029,BEV,forecast_base,34108935.00424469,base
2030,BEV,forecast_base,53378615.79899443,base
2015,PHEV,actual,27467.0,base
2015,PHEV,actual_fit,34316.94235998781,base
2016,PHEV,actual,45066.0,base
2016,PHEV,actual_fit,55203.40180363059,base
2017,PHEV,actual,136698.0,base
2017,PHEV,actual_fit,88801.70112143681,base
2018,PHEV,actual,163715.0,base
2018,PHEV,actual_fit,142848.47339010026,base
2019,PHEV,actual,141412.0,base
2019,PHEV,actual_fit,229788.99276071208,base
2020,PHEV,actual,493173.0,base
2020,PHEV,actual_fit,369642.93021435867,base
2021,PHEV,actual,987160.0,base
2021,PHEV,actual_fit,594614.2550106997,base
2022,PHEV,actual,951400.0,base
2022,PHEV,actual_fit,956506.7973455264,base
2023,PHEV,actual,984456.0,base
2023,PHEV,actual_fit,1538653.0433884822,base
2024,PHEV,forecast_base,2475102.989539681,base
2025,PHEV,forecast_base,3981491.646354751,base
2026,PHEV,forecast_base,6404693.008806864,base
2027,PHEV,forecast_base,10302694.242699433,base
2028,PHEV,forecast_base,16573082.603679527,base
2029,PHEV,forecast_base,26659731.590768643,base
2030,PHEV,forecast_base,42885279.66397826,base
2024,BEV,forecast,2907115.7377263056,low
2025,BEV,forecast,4549477.367187648,low
2026,BEV,forecast,7119683.369904336,low
2027,BEV,forecast,11141915.001416268,low
2028,BEV,forecast,17436487.218754012,low
2029,BEV,forecast,27287148.003395755,low
2030,BEV,forecast,42702892.63919555,low
2024,PHEV,forecast,1980082.3916317448,low
2025,PHEV,forecast,3185193.317083801,low
2026,PHEV,forecast,5123754.407045491,low
2027,PHEV,forecast,8242155.394159547,low
2028,PHEV,forecast,13258466.082943622,low
2029,PHEV,forecast,21327785.272614915,low
2030,PHEV,forecast,34308223.731182605,low
2024,BEV,forecast,4360673.606589458,high
2025,BEV,forecast,6824216.050781471,high
2026,BEV,forecast,10679525.054856502,high
2027,BEV,forecast,16712872.5021244,high
2028,BEV,forecast,26154730.828131016,high
2029,BEV,forecast,40930722.00509363,high
2030,BEV,forecast,64054338.95879331,high
2024,PHEV,forecast,2970123.587447617,high
2025,PHEV,forecast,4777789.975625701,high
2026,PHEV,forecast,7685631.610568237,high
2027,PHEV,forecast,12363233.09123932,high
2028,PHEV,forecast,19887699.12441543,high
2029,PHEV,forecast,31991677.90892237,high
2030,PHEV,forecast,51462335.59677391,high
